"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.146011333E0,1.691972248E-2,9.751401544E-3,2.389171402E-2,3.085742763E-2
1.156006333E0,2.172671847E-2,9.117563367E-3,2.337482016E-2,3.318979474E-2
1.166002333E0,3.374822840E-2,-9.261989594E-4,1.555357536E-2,3.717142009E-2
1.175998333E0,4.660705961E-2,-4.864883423E-4,2.954304795E-2,5.518375086E-2
1.185994333E0,5.727333114E-2,1.954548776E-2,2.678726435E-2,6.618019403E-2
1.195989333E0,6.421806917E-2,2.176333666E-2,6.834225655E-3,6.814917366E-2
1.205985333E0,5.289325498E-2,2.398235500E-2,-1.855907162E-2,6.096957367E-2
1.215981333E0,1.695056655E-2,3.668543100E-2,-2.446066638E-2,4.723840338E-2
1.225977333E0,3.548602089E-3,-8.847422004E-3,-2.407416542E-2,2.589275755E-2
1.235972333E0,2.799793035E-3,-1.322289348E-2,-2.209370434E-2,2.590010665E-2
1.245968333E0,1.048435003E-2,-6.905561686E-4,1.744165957E-2,2.036197318E-2
1.255964333E0,4.857998326E-2,4.978319407E-3,3.742276490E-2,6.152448107E-2
1.265959333E0,7.296689250E-2,3.698773205E-2,5.017494838E-2,9.596762562E-2
1.275955333E0,8.701892115E-2,2.949452519E-2,4.666194121E-2,1.030512320E-1
1.285951333E0,1.032650444E-1,2.021967173E-2,2.040152013E-2,1.071854773E-1
1.295947333E0,1.103528930E-1,7.055835128E-3,-1.792171597E-2,1.120211306E-1
1.305942333E0,1.076333530E-1,3.015993834E-3,-9.099436998E-3,1.080594034E-1
1.315938333E0,8.759911112E-2,1.019812882E-2,-1.421459039E-2,8.932894649E-2
1.325934333E0,4.732210100E-2,1.425083399E-2,-2.079620719E-2,5.361855785E-2
1.335929333E0,4.809473746E-2,-1.288141608E-3,6.174568366E-4,4.811594676E-2
1.345925333E0,5.377472274E-2,-2.889693975E-3,7.453454928E-3,5.436566129E-2
1.355921333E0,5.091141433E-2,-4.180759192E-3,5.540821552E-3,5.138240515E-2
1.365917333E0,6.053286150E-2,8.283165693E-3,-1.242591798E-2,6.234774730E-2
1.375912333E0,5.619861290E-2,2.733514845E-2,-2.352100968E-2,6.677373982E-2
1.385908333E0,3.877486043E-2,1.929931998E-2,1.418767492E-2,4.557678875E-2
1.395904333E0,2.280596830E-2,1.245456934E-2,3.708303253E-2,4.528111957E-2
