"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.362065946E1,6.656307308E-1,5.681856394E-2,1.239106949E-1,6.794457147E-1
1.372061571E1,4.643466177E-1,5.534798920E-2,-6.751186056E-3,4.676823278E-1
1.382057271E1,1.837737122E-1,7.996535182E-2,1.071455491E-1,2.272606509E-1
1.392052971E1,-1.054909332E-1,7.488821447E-2,-8.904139996E-2,1.570507961E-1
1.402048671E1,-4.143776649E-1,6.159749329E-2,3.910676757E-2,4.207522307E-1
1.412044371E1,-6.091182320E-1,7.801939845E-3,-1.455500706E-1,6.263151873E-1
1.422040071E1,-7.404253167E-1,-7.069868445E-3,1.198737681E-2,7.405560950E-1
1.432035771E1,-7.217743067E-1,-2.131076217E-2,-1.646248484E-1,7.406170665E-1
1.442031471E1,-6.179310458E-1,8.070327044E-3,3.399221261E-2,6.189179090E-1
1.452027171E1,-3.895465134E-1,1.450694203E-2,-1.239802676E-1,4.090575073E-1
1.462022871E1,-1.298084798E-1,7.520337939E-2,7.378776848E-2,1.671838045E-1
1.472018637E1,1.914881265E-1,7.723294795E-2,-6.003570199E-2,2.150277107E-1
1.482014337E1,4.578757234E-1,8.446186066E-2,1.441186631E-1,4.873952944E-1
1.492010037E1,6.872261792E-1,6.055961251E-2,1.244287491E-2,6.900015313E-1
1.502005737E1,7.793857531E-1,6.247223675E-2,1.644400764E-1,7.989902823E-1
1.512001437E1,7.828821688E-1,2.497111917E-2,3.674273372E-2,7.841416170E-1
1.521997137E1,6.544036382E-1,4.998433828E-2,1.324476206E-1,6.695408337E-1
1.531992837E1,4.566309974E-1,6.609107852E-2,9.578908682E-3,4.614885198E-1
1.541988537E1,1.680467851E-1,7.744403243E-2,5.251735210E-2,1.923418114E-1
1.551984237E1,-1.247703727E-1,5.700801373E-2,-2.243635118E-2,1.389998179E-1
1.561979937E1,-3.992372136E-1,5.090878308E-2,-2.082193494E-2,4.030082008E-1
1.571975646E1,-6.183909293E-1,2.717201114E-2,-6.546424787E-2,6.224397380E-1
1.581971346E1,-7.367157700E-1,-2.328185856E-2,-7.979401927E-2,7.413900837E-1
1.591967046E1,-7.281120307E-1,-2.435131431E-2,-5.722261568E-2,7.307629872E-1
1.601962746E1,-5.945850141E-1,1.315506577E-2,-8.894900481E-2,6.013454250E-1
1.611958446E1,-3.906517103E-1,3.927457809E-2,-7.529455028E-3,3.926931931E-1
1.621954146E1,-1.125802436E-1,5.954219699E-2,-3.534758806E-2,1.321704826E-1
1.631949846E1,1.833649187E-1,9.187262177E-2,7.706045508E-2,2.190926420E-1
1.641945546E1,4.783845399E-1,7.901693344E-2,-2.285091877E-3,4.848718031E-1
