t / s	v / rad/s	U_B1 / V
32,1	-1,1	2,54
32,2	-0,8	2,70
32,3	-0,4	2,82
32,4	0,0	2,89
32,5	0,5	2,87
32,6	0,8	2,80
32,7	1,0	2,65
32,8	1,2	2,47
32,9	1,2	2,28
33,0	0,9	2,09
33,1	0,6	1,95
33,2	0,3	1,85
33,3	-0,1	1,82
33,4	-0,6	1,84
33,5	-0,9	1,95
33,6	-1,1	2,09
33,7	-1,2	2,29
33,8	-1,1	2,47
33,9	-0,9	2,65
34,0	-0,5	2,79
34,1	-0,1	2,87
34,2	0,3	2,88
34,3	0,7	2,83
34,4	0,9	2,71
34,5	1,1	2,54
34,6	1,2	2,35
34,7	1,1	2,16
34,8	0,8	2,00
34,9	0,3	1,88
35,0	-0,1	1,82
35,1	-0,5	1,83
35,2	-0,8	1,90
35,3	-1,0	2,03
35,4	-1,2	2,20
35,5	-1,2	2,40
35,6	-1,0	2,59
35,7	-0,6	2,74
35,8	-0,2	2,85
35,9	0,2	2,88
36,0	0,6	2,86
36,1	0,9	2,76
36,2	1,1	2,61
36,3	1,1	2,42
36,4	1,0	2,23
36,5	0,9	2,05
36,6	0,5	1,91
36,7	0,1	1,84
36,8	-0,3	1,82
36,9	-0,7	1,87
37,0	-1,0	1,98
37,1	-1,2	2,14
37,2	-1,2	2,33
37,3	-1,0	2,52
37,4	-0,8	2,69
37,5	-0,3	2,81
37,6	0,1	2,88
37,7	0,4	2,88
37,8	0,8	2,81
37,9	1,1	2,68
38,0	1,2	2,50
38,1	1,1	2,31
38,2	0,9	2,12
38,3	0,7	1,96
38,4	0,3	1,86
38,5	-0,2	1,82
38,6	-0,6	1,84
38,7	-0,9	1,93
38,8	-1,1	2,07
38,9	-1,2	2,25
39,0	-1,1	2,44
39,1	-0,9	2,62
39,2	-0,5	2,77
39,3	-0,1	2,86
39,4	0,3	2,88
39,5	0,8	2,84
39,6	1,0	2,74
39,7	1,2	2,57
39,8	1,2	2,39
39,9	1,0	2,19
40,0	0,8	2,02
40,1	0,4	1,89
40,2	0,0	1,82
40,3	-0,5	1,82
40,4	-0,9	1,88
40,5	-1,1	2,00
40,6	-1,2	2,17
40,7	-1,1	2,37
40,8	-1,0	2,55
40,9	-0,7	2,71
41,0	-0,3	2,83
41,1	0,2	2,88
41,2	0,6	2,87
41,3	1,0	2,79
41,4	1,1	2,64
41,5	1,3	2,47
41,6	1,1	2,27
41,7	0,9	2,09
41,8	0,6	1,94
41,9	0,2	1,85
42,0	-0,4	1,81
42,1	-0,7	1,85
42,2	-1,0	1,95
42,3	-1,2	2,10
42,4	-1,2	2,28
42,5	-1,1	2,47
42,6	-0,8	2,65
42,7	-0,5	2,79
42,8	0,0	2,87
42,9	0,5	2,88
43,0	0,8	2,83
43,1	1,1	2,70
43,2	1,3	2,53
43,3	1,2	2,34
43,4	1,0	2,15
43,5	0,8	1,99
43,6	0,3	1,88
43,7	-0,2	1,82
43,8	-0,5	1,83
43,9	-0,9	1,91
44,0	-1,2	2,04
44,1	-1,3	2,21
44,2	-1,2	2,40
44,3	-1,0	2,59
44,4	-0,6	2,74
44,5	-0,2	2,85
44,6	0,3	2,88
44,7	0,7	2,86
44,8	1,0	2,75
44,9	1,2	2,60
45,0	1,3	2,42
45,1	1,2	2,22
45,2	0,9	2,06
45,3	0,5	1,91
45,4	0,1	1,83
45,5	-0,4	1,82
45,6	-0,8	1,87
45,7	-1,1	1,98
45,8	-1,3	2,14
45,9	-1,3	2,32
46,0	-1,1	2,52
46,1	-0,8	2,69
46,2	-0,4	2,81
46,3	0,1	2,89
46,4	0,5	2,87
46,5	0,8	2,81
46,6	1,2	2,67
46,7	1,4	2,49
46,8	1,2	2,31
46,9	1,0	2,12
47,0	0,7	1,97
47,1	0,3	1,86
47,2	-0,2	1,82
47,3	-0,6	1,84
47,4	-1,0	1,92
47,5	-1,2	2,08
47,6	-1,3	2,25
47,7	-1,2	2,45
47,8	-1,0	2,62
47,9	-0,6	2,77
48,0	-0,2	2,87
48,1	0,3	2,88
48,2	0,7	2,85
48,3	1,1	2,74
48,4	1,2	2,58
48,5	1,2	2,39
48,6	1,2	2,19
48,7	0,9	2,03
48,8	0,5	1,90
48,9	0,1	1,83
49,0	-0,4	1,82
49,1	-0,9	1,89
49,2	-1,2	2,01
49,3	-1,3	2,18
49,4	-1,2	2,37
49,5	-1,0	2,56
49,6	-0,8	2,72
49,7	-0,4	2,84
49,8	0,2	2,89
49,9	0,6	2,87
50,0	0,9	2,79
50,1	1,2	2,64
50,2	1,3	2,46
50,3	1,2	2,27
50,4	1,0	2,09
50,5	0,6	1,94
50,6	0,2	1,85
50,7	-0,3	1,82
50,8	-0,7	1,85
50,9	-1,0	1,95
51,0	-1,2	2,10
51,1	-1,3	2,29
51,2	-1,1	2,48
51,3	-0,9	2,66
51,4	-0,6	2,80
51,5	-0,1	2,87
51,6	0,4	2,88
51,7	0,8	2,83
51,8	1,1	2,71
51,9	1,2	2,54
52,0	1,3	2,34
52,1	1,0	2,16
52,2	0,8	2,00
52,3	0,4	1,88
52,4	-0,1	1,83
52,5	-0,5	1,84
52,6	-0,9	1,90
52,7	-1,1	2,04
52,8	-1,2	2,21
52,9	-1,2	2,40
53,0	-1,0	2,59
53,1	-0,6	2,75
53,2	-0,2	2,85
53,3	0,2	2,89
53,4	0,6	2,86
53,5	1,0	2,76
53,6	1,2	2,60
53,7	1,2	2,42
53,8	1,1	2,23
53,9	0,9	2,05
54,0	0,6	1,92
54,1	0,1	1,84
54,2	-0,3	1,82
54,3	-0,7	1,87
54,4	-1,1	1,98
54,5	-1,2	2,14
54,6	-1,2	2,33
54,7	-1,1	2,52
54,8	-0,8	2,70
54,9	-0,4	2,82
55,0	0,0	2,88
55,1	0,5	2,88
55,2	0,8	2,80
55,3	1,0	2,67
55,4	1,2	2,49
55,5	1,2	2,30
55,6	1,0	2,11
55,7	0,7	1,96
55,8	0,3	1,86
55,9	-0,1	1,82
56,0	-0,6	1,84
56,1	-1,0	1,93
56,2	-1,2	2,09
56,3	-1,2	2,26
56,4	-1,2	2,46
56,5	-0,9	2,64
56,6	-0,5	2,78
56,7	-0,2	2,87
56,8	0,3	2,89
56,9	0,7	2,84
57,0	1,0	2,72
57,1	1,2	2,55
57,2	1,2	2,36
57,3	1,1	2,17
57,4	0,8	2,00
57,5	0,4	1,88
57,6	0,0	1,82
57,7	-0,4	1,83
57,8	-0,8	1,90
57,9	-1,1	2,03
58,0	-1,2	2,20
58,1	-1,2	2,39
58,2	-1,0	2,58
58,3	-0,7	2,74
58,4	-0,3	2,85
58,5	0,2	2,89
58,6	0,5	2,87
58,7	0,9	2,76
58,8	1,1	2,61
58,9	1,2	2,42
59,0	1,1	2,22
59,1	0,9	2,05
59,2	0,6	1,91
59,3	0,1	1,83
59,4	-0,3	1,83
59,5	-0,7	1,87
59,6	-1,0	1,98
59,7	-1,2	2,15
59,8	-1,1	2,34
59,9	-1,0	2,52
60,0	-0,8	2,69
60,1	-0,4	2,82
60,2	0,1	2,88
60,3	0,4	2,88
60,4	0,8	2,80
60,5	1,1	2,66
60,6	1,1	2,47
60,7	1,2	2,28
60,8	1,0	2,10
60,9	0,6	1,95
61,0	0,2	1,85
61,1	-0,2	1,82
61,2	-0,6	1,84
61,3	-0,8	1,94
61,4	-1,1	2,09
61,5	-1,2	2,27
61,6	-1,1	2,47
61,7	-0,8	2,65
61,8	-0,5	2,79
61,9	-0,1	2,87
62,0	0,3	2,89
62,1	0,7	2,83
62,2	1,0	2,71
62,3	1,1	2,54
62,4	1,1	2,35
62,5	1,0	2,16
62,6	0,7	1,99
62,7	0,4	1,88
62,8	-0,1	1,82
62,9	-0,4	1,83
63,0	-0,8	1,91
63,1	-1,0	2,04
63,2	-1,2	2,21
63,3	-1,1	2,41
63,4	-0,9	2,60
63,5	-0,6	2,75
63,6	-0,3	2,85
63,7	0,2	2,89
63,8	0,6	2,85
63,9	0,9	2,76
64,0	1,1	2,60
64,1	1,2	2,41
64,2	1,1	2,22
64,3	0,8	2,04
64,4	0,4	1,91
64,5	0,1	1,84
64,6	-0,3	1,82
64,7	-0,7	1,87
64,8	-1,0	1,99
64,9	-1,1	2,15
65,0	-1,1	2,33
65,1	-1,0	2,53
65,2	-0,8	2,70
65,3	-0,3	2,82
65,4	0,1	2,88
65,5	0,5	2,88
65,6	0,8	2,80
65,7	1,1	2,66
65,8	1,1	2,48
65,9	1,1	2,29
66,0	0,8	2,10
66,1	0,5	1,95
66,2	0,2	1,85
66,3	-0,2	1,82
66,4	-0,6	1,84
66,5	-0,9	1,94
66,6	-1,1	2,09
66,7	-1,2	2,27
66,8	-1,1	2,46
66,9	-0,8	2,64
67,0	-0,4	2,79
67,1	0,0	2,87
67,2	0,3	2,89
67,3	0,8	2,83
67,4	1,1	2,71
67,5	1,2	2,54
67,6	1,1	2,35
67,7	1,0	2,16
67,8	0,6	2,00
67,9	0,3	1,88
68,0	-0,1	1,82
68,1	-0,5	1,83
68,2	-0,9	1,90
68,3	-1,1	2,03
68,4	-1,2	2,20
68,5	-1,1	2,39
68,6	-0,9	2,58
68,7	-0,6	2,73
68,8	-0,2	2,85
68,9	0,3	2,89
69,0	0,6	2,86
69,1	0,9	2,76
69,2	1,2	2,61
69,3	1,2	2,42
69,4	1,1	2,23
69,5	0,8	2,05
69,6	0,5	1,91
69,7	0,1	1,84
69,8	-0,4	1,81
69,9	-0,8	1,87
70,0	-1,0	1,97
70,1	-1,2	2,14
70,2	-1,2	2,33
70,3	-1,0	2,52
70,4	-0,8	2,69
70,5	-0,3	2,82
70,6	0,1	2,88
70,7	0,5	2,88
70,8	0,9	2,80
70,9	1,2	2,67
71,0	1,2	2,49
71,1	1,1	2,30
71,2	1,0	2,11
71,3	0,7	1,96
71,4		1,86
