t / s	v / rad/s	U_B1 / V
18,0	-1,1	2,37
18,1	-1,1	2,21
18,2	-1,0	2,06
18,3	-0,9	1,94
18,4	-0,7	1,85
18,5	-0,3	1,81
18,6	0,0	1,82
18,7	0,4	1,88
18,8	0,7	1,98
18,9	0,9	2,11
19,0	1,1	2,27
19,1	1,2	2,43
19,2	1,0	2,59
19,3	0,9	2,72
19,4	0,7	2,83
19,5	0,4	2,88
19,6	0,0	2,88
19,7	-0,3	2,84
19,8	-0,6	2,74
19,9	-0,8	2,61
20,0	-1,0	2,46
20,1	-1,2	2,30
20,2	-1,1	2,13
20,3	-1,0	2,00
20,4	-0,8	1,89
20,5	-0,5	1,83
20,6	-0,2	1,81
20,7	0,2	1,84
20,8	0,5	1,92
20,9	0,8	2,04
21,0	1,0	2,18
21,1	1,1	2,34
21,2	1,2	2,50
21,3	1,1	2,65
21,4	0,8	2,77
21,5	0,6	2,85
21,6	0,3	2,89
21,7	-0,1	2,87
21,8	-0,4	2,81
21,9	-0,7	2,70
22,0	-0,9	2,56
22,1	-1,1	2,40
22,2	-1,1	2,24
22,3	-1,1	2,08
22,4	-0,9	1,96
22,5	-0,7	1,87
22,6	-0,4	1,82
22,7	-0,1	1,81
22,8		1,86
