t / s	f_1
0,0           
59,9          0,0081
60,0          0,0173
60,1          0,0255
60,2          0,0289
60,3          0,0262
60,4          0,0183
60,5          0,0087
60,6          0,0018
60,7          0,0002
60,8          0,0045
60,9          0,0129
61,0          0,0221
61,1          0,0276
61,2          0,0276
61,3          0,0220
61,4          0,0128
61,5          0,0045
61,6          0,0001
61,7          0,0021
61,8          0,0090
61,9          0,0182
62,0          0,0258
62,1          0,0282
62,2          0,0247
62,3          0,0167
62,4          0,0074
62,5          0,0012
62,6          0,0004
62,7          0,0055
62,8          0,0144
62,9          0,0227
63,0          0,0276
63,1          0,0266
63,2          0,0201
63,3          0,0113
63,4          0,0034
63,5          0,0000
63,6          0,0027
63,7          0,0100
63,8          0,0195
63,9          0,0265
64,0          0,0277
64,1          0,0232
64,2          0,0147
64,3          0,0061
64,4          0,0007
64,5          0,0009
64,6          0,0064
64,7          0,0152
64,8          0,0234
64,9          0,0275
65,0          0,0257
65,1          0,0190
65,2          0,0099
65,3          0,0024
65,4          0,0000
65,5          0,0034
65,6          0,0116
65,7          0,0203
65,8          0,0261
65,9          0,0268
66,0          0,0218
66,1          0,0134
66,2          0,0049
66,3          0,0003
66,4          0,0013
66,5          0,0075
66,6          0,0161
66,7          0,0239
66,8          0,0271
66,9          0,0244
67,0          0,0172
67,1          0,0081
67,2          0,0017
67,3          0,0002
67,4          0,0044
67,5          0,0126
67,6          0,0215
67,7          0,0264
67,8          0,0256
67,9          0,0201
68,0          0,0120
68,1          0,0038
68,2          0,0001
68,3          0,0019
68,4          0,0086
68,5          0,0172
68,6          0,0240
68,7          0,0266
68,8          0,0235
68,9          0,0155
69,0          0,0067
69,1          0,0011
69,2          0,0005
69,3          0,0054
69,4          0,0133
69,5          0,0219
69,6          0,0263
69,7          0,0250
69,8          0,0187
69,9          0,0101
70,0          0,0029
70,1          0,0000
70,2          0,0028
70,3          0,0097
70,4          0,0179
70,5          0,0248
70,6          0,0260
70,7          0,0219
70,8          0,0138
70,9          0,0056
71,0          0,0006
71,1          0,0009
71,2          0,0062
71,3          0,0147
71,4          0,0224
71,5          0,0261
71,6          0,0239
71,7          0,0171
71,8          0,0088
71,9          0,0022
72,0          0,0000
72,1          0,0035
72,2          0,0107
72,3          0,0190
72,4          0,0248
72,5          0,0252
72,6          0,0202
72,7          0,0121
72,8          0,0045
72,9          0,0002
73,0          0,0013
73,1          0,0072
73,2          0,0154
73,3          0,0226
73,4          0,0255
73,5          0,0229
73,6          0,0156
73,7          0,0075
73,8          0,0016
73,9          0,0002
74,0          0,0043
74,1          0,0117
74,2          0,0196
74,3          0,0244
74,4          0,0243
74,5          0,0191
74,6          0,0109
74,7          0,0037
74,8          0,0001
74,9          0,0019
75,0          0,0080
75,1          0,0168
75,2          0,0230
75,3          0,0248
75,4          0,0215
75,5          0,0140
75,6          0,0063
75,7          0,0010
75,8          0,0004
75,9          0,0050
76,0          0,0128
76,1          0,0201
76,2          0,0244
76,3          0,0236
76,4          0,0177
76,5          0,0097
76,6          0,0027
76,7          0,0000
76,8          0,0025
76,9          0,0092
77,0          0,0174
77,1          0,0232
77,2          0,0247
77,3          0,0202
77,4          0,0125
77,5          0,0053
77,6          0,0006
77,7          0,0009
77,8          0,0059
77,9          0,0136
78,0          0,0209
78,1          0,0242
78,2          0,0227
78,3          0,0165
78,4          0,0081
78,5          0,0019
78,6          0,0000
78,7          0,0032
78,8          0,0104
78,9          0,0180
79,0          0,0232
79,1          0,0237
79,2          0,0186
79,3          0,0114
79,4          0,0042
79,5          0,0002
79,6          0,0011
79,7          0,0066
79,8          0,0149
79,9          0,0215
80,0          0,0238
80,1          0,0213
80,2          0,0147
80,3          0,0070
80,4          0,0013
80,5          0,0002
80,6          0,0040
80,7          0,0112
80,8          0,0188
80,9          0,0230
81,0          0,0226
81,1          0,0175
81,2          0,0100
81,3          0,0032
81,4          0,0000
81,5          0,0018
81,6          0,0075
81,7          0,0153
81,8          0,0220
81,9          0,0235
82,0          0,0201
82,1          0,0133
82,2          0,0058
82,3          0,0009
82,4          0,0005
82,5          0,0050
82,6          0,0122
82,7          0,0192
82,8          0,0225
82,9          0,0218
83,0          0,0163
83,1          0,0088
83,2          0,0026
83,3          0,0000
83,4          0,0025
83,5          0,0085
83,6          0,0162
83,7          0,0216
83,8          0,0225
83,9          0,0190
84,0          0,0122
84,1          0,0048
84,2          0,0004
84,3          0,0007
84,4          0,0056
84,5          0,0133
84,6          0,0199
84,7          0,0223
84,8          0,0205
84,9          0,0151
85,0          0,0077
85,1          0,0018
85,2          0,0001
85,3          0,0031
85,4          0,0095
85,5          0,0169
85,6          0,0213
85,7          0,0220
85,8          0,0177
85,9          0,0105
86,0          0,0039
86,1          0,0002
86,2          0,0012
86,3          0,0065
86,4          0,0137
86,5          0,0197
86,6          0,0221
86,7          0,0199
86,8          0,0136
86,9          0,0065
87,0          0,0013
87,1          0,0002
87,2          0,0040
87,3          0,0103
87,4          0,0174
87,5          0,0215
87,6          0,0208
87,7          0,0168
87,8          0,0097
87,9          0,0030
88,0          0,0000
88,1          0,0018
88,2          0,0071
88,3          0,0148
88,4          0,0204
88,5          0,0217
88,6          0,0187
88,7          0,0122
88,8          0,0054
88,9          0,0007
89,0          0,0005
89,1          0,0043
89,2          0,0115
89,3          0,0179
89,4          0,0212
89,5          0,0201
89,6          0,0151
89,7          0,0081
89,8          0,0023
89,9          0,0000
90,0          0,0023
90,1          0,0080
90,2          0,0152
90,3          0,0203
90,4          0,0211
90,5          0,0177
90,6          0,0109
90,7          0,0044
90,8          0,0004
90,9          0,0008
91,0          0,0053
91,1          0,0120
91,2          0,0182
91,3          0,0213
91,4          0,0192
91,5          0,0136
91,6          0,0069
91,7          0,0017
91,8          0,0000
91,9          0,0029
92,0          0,0090
92,1          0,0159
92,2          0,0202
92,3          0,0203
92,4          0,0164
92,5          0,0098
92,6          0,0035
92,7          0,0002
92,8          0,0012
92,9          0,0061
93,0          0,0128
93,1          0,0182
93,2          0,0208
93,3          0,0188
93,4          0,0125
93,5          0,0059
93,6          0,0011
93,7          0,0002
93,8          0,0035
93,9          0,0099
94,0          0,0161
94,1          0,0202
94,2          0,0199
94,3          0,0150
94,4          0,0084
94,5          0,0026
94,6          0,0000
94,7          0,0016
94,8          0,0068
94,9          0,0134
95,0          0,0185
95,1          0,0202
95,2          0,0174
95,3          0,0115
95,4          0,0049
95,5          0,0007
95,6          0,0004
95,7          0,0044
95,8          0,0105
95,9          0,0165
96,0          0,0201
96,1          0,0184
96,2          0,0137
96,3          0,0075
96,4          0,0021
96,5          0,0000
96,6          0,0022
96,7          0,0076
96,8          0,0139
96,9          0,0185
97,0          0,0196
97,1          0,0163
97,2          0,0101
97,3          0,0040
97,4          0,0004
97,5          0,0007
97,6          0,0050
97,7          0,0111
97,8          0,0167
97,9          0,0194
98,0          0,0180
98,1          0,0128
98,2          0,0065
98,3          0,0015
98,4          0,0001
98,5          0,0027
98,6          0,0082
98,7          0,0144
98,8          0,0187
98,9          0,0190
99,0          0,0148
99,1          0,0090
99,2          0,0034
99,3          0,0001
99,4          0,0011
99,5          0,0055
99,6          0,0119
99,7          0,0171
99,8          0,0190
99,9          0,0171
100,0         0,0116
100,1         0,0055
100,2         0,0010
100,3         0,0002
100,4         0,0032
100,5         0,0091
100,6         0,0152
100,7         0,0184
100,8         0,0179
100,9         0,0138
101,0         0,0082
101,1         0,0027
101,2         0,0000
101,3         0,0015
101,4         0,0063
101,5         0,0126
101,6         0,0174
101,7         0,0184
101,8         0,0158
101,9         0,0105
102,0         0,0045
102,1         0,0006
102,2         0,0004
102,3         0,0040
102,4         0,0098
102,5         0,0150
102,6         0,0180
102,7         0,0173
102,8         0,0131
102,9         0,0069
103,0         0,0019
103,1         0,0000
103,2         0,0020
103,3         0,0071
103,4         0,0131
103,5         0,0171
103,6         0,0181
103,7         0,0151
103,8         0,0095
103,9         0,0036
104,0         0,0003
104,1         0,0007
104,2         0,0046
104,3         0,0102
104,4         0,0153
104,5         0,0180
104,6         0,0164
104,7         0,0119
104,8         0,0059
104,9         0,0015
105,0         0,0000
105,1         0,0027
105,2         0,0079
105,3         0,0134
105,4         0,0171
105,5         0,0172
105,6         0,0139
105,7         0,0082
105,8         0,0029
105,9         0,0001
106,0         0,0010
106,1         0,0052
106,2         0,0110
106,3         0,0155
106,4         0,0175
106,5         0,0159
106,6         0,0108
106,7         0,0051
106,8         0,0009
106,9         0,0002
107,0         0,0031
107,1         0,0086
107,2         0,0139
107,3         0,0169
107,4         0,0167
107,5         0,0131
107,6         0,0073
107,7         0,0022
107,8         0,0000
107,9         0,0013
108,0         0,0060
108,1         0,0117
108,2         0,0159
108,3         0,0169
108,4         0,0146
108,5         0,0099
108,6         0,0042
108,7         0,0006
108,8         0,0003
108,9         0,0039
109,0         0,0092
109,1         0,0140
109,2         0,0169
109,3         0,0162
109,4         0,0118
109,5         0,0063
109,6         0,0018
109,7         0,0000
109,8         0,0019
109,9         0,0065
110,0         0,0119
110,1         0,0159
