t / s	v / rad/s	U_B1 / V
9,5	1,0	2,63
9,6	1,0	2,75
9,7	0,7	2,85
9,8	0,5	2,88
9,9	0,3	2,88
10,0	0,1	2,83
10,1	-0,2	2,72
10,2	-0,5	2,58
10,3	-0,8	2,42
10,4	-0,9	2,26
10,5	-0,9	2,10
10,6	-1,0	1,97
10,7	-0,8	1,88
10,8	-0,6	1,82
10,9	-0,4	1,82
11,0	-0,2	1,86
11,1	0,2	1,95
11,2	0,4	2,07
11,3	0,7	2,22
11,4	0,9	2,38
11,5	0,9	2,54
11,6	0,9	2,69
11,7	0,9	2,80
11,8	0,7	2,87
11,9	0,5	2,89
12,0	0,2	2,86
12,1	0,0	2,79
12,2	-0,3	2,67
12,3	-0,6	2,52
12,4	-0,8	2,35
12,5	-0,9	2,19
12,6	-1,0	2,04
12,7	-0,9	1,92
12,8	-0,7	1,85
12,9	-0,6	1,82
13,0	-0,3	1,83
13,1	0,0	1,89
13,2	0,2	2,00
13,3	0,5	2,13
13,4	0,8	2,29
13,5	0,9	2,45
13,6	0,9	2,61
13,7	0,9	2,73
13,8	0,8	2,83
13,9	0,6	2,89
14,0	0,4	2,88
14,1	0,1	2,84
14,2	-0,2	2,73
14,3	-0,5	2,60
14,4	-0,7	2,45
14,5	-0,8	2,28
14,6	-0,9	2,12
14,7	-1,0	1,99
14,8	-0,8	1,89
14,9	-0,7	1,83
15,0	-0,5	1,82
15,1	-0,2	1,85
15,2	0,1	1,93
15,3	0,4	2,06
15,4	0,6	2,21
15,5	0,8	2,37
15,6	0,9	2,53
15,7	1,0	2,67
15,8	0,9	2,79
15,9	0,7	2,86
16,0	0,6	2,89
16,1	0,3	2,87
16,2	0,0	2,80
16,3	-0,3	2,68
16,4	-0,5	2,53
16,5	-0,8	2,37
16,6	-1,0	2,20
16,7	-1,0	2,06
16,8	-0,9	1,93
16,9	-0,8	1,86
17,0	-0,6	1,82
17,1	-0,4	1,82
17,2	-0,1	1,89
17,3	0,2	1,99
17,4	0,6	2,12
17,5	0,7	2,27
17,6	0,9	2,45
17,7	1,0	2,60
17,8	0,9	2,73
17,9	0,8	2,83
18,0	0,7	2,88
18,1	0,4	2,88
18,2	0,1	2,84
18,3	-0,2	2,74
18,4	-0,4	2,61
18,5	-0,6	2,45
18,6	-0,9	2,29
18,7	-1,0	2,13
18,8	-1,0	2,00
18,9	-0,9	1,89
19,0	-0,8	1,83
19,1	-0,5	1,82
19,2	-0,2	1,84
19,3	0,1	1,92
19,4	0,4	2,04
19,5	0,6	2,19
19,6	0,8	2,35
19,7	1,0	2,51
19,8	1,0	2,65
19,9	0,9	2,78
20,0	0,8	2,86
20,1	0,6	2,89
20,2	0,3	2,87
20,3	0,0	2,80
20,4	-0,3	2,69
20,5	-0,6	2,55
20,6	-0,7	2,39
20,7	-0,9	2,22
20,8	-1,0	2,07
20,9	-0,9	1,95
21,0	-0,8	1,86
21,1	-0,6	1,82
21,2	-0,4	1,83
21,3	-0,1	1,88
21,4	0,2	1,97
21,5	0,5	2,10
21,6	0,8	2,25
21,7	0,9	2,42
21,8	0,9	2,58
21,9	0,9	2,71
22,0	0,8	2,82
22,1	0,7	2,87
22,2	0,5	2,89
22,3	0,2	2,85
22,4	-0,1	2,76
22,5	-0,4	2,64
22,6	-0,6	2,49
22,7	-0,8	2,32
22,8	-0,9	2,16
22,9	-1,0	2,01
23,0	-0,9	1,91
23,1	-0,8	1,84
23,2	-0,5	1,81
23,3	-0,3	1,83
23,4	0,0	1,92
23,5	0,4	2,02
23,6		2,17
