t / s	v / rad/s	U_B1 / V
13,3	0,2	2,83
13,4	0,1	2,87
13,5	0,0	2,88
13,6	0,0	2,87
13,7	-0,1	2,82
13,8	-0,2	2,73
13,9	-0,3	2,62
14,0	-0,4	2,50
14,1	-0,3	2,36
14,2	-0,3	2,23
14,3	-0,4	2,10
14,4	-0,3	1,99
14,5	-0,2	1,91
14,6	-0,1	1,85
14,7	-0,1	1,81
14,8	0,0	1,82
14,9	0,1	1,85
15,0	0,2	1,93
15,1	0,3	2,01
15,2	0,3	2,13
15,3	0,3	2,26
15,4	0,3	2,39
15,5	0,4	2,53
15,6	0,3	2,64
15,7	0,2	2,75
15,8	0,2	2,83
15,9	0,1	2,87
16,0	0,0	2,88
16,1	-0,1	2,87
16,2	-0,1	2,81
16,3	-0,2	2,74
16,4	-0,3	2,63
16,5	-0,3	2,50
16,6	-0,3	2,36
16,7	-0,3	2,23
16,8	-0,3	2,10
16,9	-0,3	1,99
17,0	-0,2	1,90
17,1	-0,1	1,85
17,2	-0,1	1,81
17,3	0,0	1,82
17,4	0,1	1,85
17,5	0,2	1,92
17,6	0,3	2,02
17,7	0,3	2,13
17,8	0,3	2,26
17,9	0,3	2,40
18,0	0,4	2,53
18,1	0,3	2,65
18,2	0,2	2,76
18,3	0,2	2,83
18,4	0,2	2,87
18,5	0,0	2,88
18,6	-0,1	2,86
18,7	-0,1	2,81
18,8	-0,2	2,71
18,9	-0,3	2,61
19,0	-0,3	2,48
19,1	-0,3	2,34
19,2	-0,4	2,21
19,3	-0,3	2,08
19,4	-0,3	1,98
19,5	-0,2	1,89
19,6	-0,2	1,83
19,7	0,0	1,81
19,8	0,0	1,82
19,9	0,1	1,86
20,0	0,2	1,93
20,1	0,3	2,04
20,2	0,3	2,15
20,3	0,3	2,28
20,4	0,3	2,41
20,5	0,3	2,54
20,6	0,3	2,66
20,7	0,3	2,76
20,8	0,1	2,84
20,9	0,1	2,87
21,0	0,0	2,88
21,1	-0,1	2,86
21,2	-0,2	2,80
21,3	-0,2	2,71
21,4	-0,3	2,60
21,5	-0,4	2,48
21,6	-0,3	2,33
21,7	-0,3	2,20
21,8	-0,3	2,08
21,9	-0,2	1,97
22,0	-0,2	1,89
22,1	-0,2	1,84
22,2	-0,1	1,81
22,3	0,1	1,82
22,4	0,1	1,86
22,5	0,2	1,93
22,6	0,3	2,03
22,7	0,3	2,15
22,8	0,3	2,28
22,9	0,3	2,42
23,0	0,3	2,55
23,1	0,3	2,66
23,2	0,2	2,76
23,3	0,1	2,84
23,4	0,1	2,88
23,5	0,0	2,88
23,6	-0,1	2,87
23,7	-0,2	2,80
23,8	-0,2	2,71
23,9	-0,3	2,60
24,0	-0,3	2,47
24,1	-0,4	2,33
24,2	-0,3	2,20
24,3	-0,3	2,08
24,4	-0,3	1,97
24,5	-0,2	1,89
24,6	-0,1	1,84
24,7	0,0	1,81
24,8	0,1	1,82
24,9	0,1	1,87
25,0	0,2	1,93
25,1	0,2	2,03
25,2	0,3	2,15
25,3	0,3	2,28
25,4	0,3	2,42
25,5	0,4	2,55
25,6	0,3	2,66
25,7	0,2	2,76
25,8	0,2	2,84
25,9	0,2	2,88
26,0	0,0	2,89
26,1	-0,1	2,87
26,2	-0,1	2,80
26,3	-0,2	2,72
26,4	-0,3	2,60
26,5		2,47
